item_id,bio,bio_spr,critical,name,file_name,file_name_real,bio_spr_no_name,pro,verb_match,adj,np,spillover,spill1,spill2,period,post_verb,critical_full,name_original,gender,lifetime,lifetime_distractor,type,tense,mm,list,match,bare,Unique_ID,prac_correct,prac_incorrect
2,Richard Nixon was an American politician. He died in New York.,Richard Nixon*was*an American*politician.*He died*in New York.,"He*has appeared*in prominent*political debates,*according to*Wikipedia.",Richard Nixon,Robin_Williams.jpg,Richard_Nixon.jpg,*was*an American*politician.*He died*in New York.,He,has appeared,in prominent,political debates,in his lifetime,according to,Wikipedia,0,in prominent political debates in his lifetime.,He has appeared in prominent political debates in his lifetime.,Richard Nixon,male,dead,alive,critical,PP,deadPP,1,no,appear,12111,crit,crit
2,Richard Nixon was an American politician. He died in New York.,Richard Nixon*was*an American*politician.*He died*in New York.,"He*appeared*in prominent*political debates,*according to*Wikipedia.",Richard Nixon,Robin_Williams.jpg,Richard_Nixon.jpg,*was*an American*politician.*He died*in New York.,He,appeared,in prominent,political debates,in his lifetime,according to,Wikipedia,0,in prominent political debates in his lifetime.,He appeared in prominent political debates in his lifetime.,Richard Nixon,male,dead,alive,critical,PS,deadPS,2,no,appear,12122,crit,crit
2,Justin Trudeau is a Canadian politician. He lives in Ottawa.,Justin Trudeau*is*a Canadian*politician.*He lives*in Ottawa.,"He*has appeared*in prominent*political debates,*according to*Wikipedia.",Justin Trudeau,Robin_Williams.jpg,Justin_Trudeau.jpg,*is*a Canadian*politician.*He lives*in Ottawa.,He,has appeared,in prominent,political debates,in his lifetime,according to,Wikipedia,0,in prominent political debates in his lifetime.,He has appeared in prominent political debates in his lifetime.,Justin Trudeau,male,alive,dead,critical,PP,livingPP,3,yes,appear,12013,crit,crit
2,Justin Trudeau is a Canadian politician. He lives in Ottawa.,Justin Trudeau*is*a Canadian*politician.*He lives*in Ottawa.,"He*appeared*in prominent*political debates,*according to*Wikipedia.",Justin Trudeau,Robin_Williams.jpg,Justin_Trudeau.jpg,*is*a Canadian*politician.*He lives*in Ottawa.,He,appeared,in prominent,political debates,in his lifetime,according to,Wikipedia,0,in prominent political debates in his lifetime.,He appeared in prominent political debates in his lifetime.,Justin Trudeau,male,alive,dead,critical,PS,livingPS,4,yes,appear,12024,crit,crit
3,Whitney Houston was an American singer. She died in Beverly Hills.,Whitney Houston*was*an American*singer.*She died*in Beverly Hills.,"She*has appeared*in popular*music videos,*as stated in*her memoir.",Whitney Houston,Robin_Williams.jpg,Whitney_Houston.jpg,*was*an American*singer.*She died*in Beverly Hills.,She,has appeared,in popular,music videos,in her career,as stated in,her memoir,0,in popular music videos in her career.,She has appeared in popular music videos in her career.,Whitney Houston,female,dead,alive,critical,PP,deadPP,2,no,appear,13114,crit,crit
3,Whitney Houston was an American singer. She died in Beverly Hills.,Whitney Houston*was*an American*singer.*She died*in Beverly Hills.,"She*appeared*in popular*music videos,*as stated in*her memoir.",Whitney Houston,Robin_Williams.jpg,Whitney_Houston.jpg,*was*an American*singer.*She died*in Beverly Hills.,She,appeared,in popular,music videos,in her career,as stated in,her memoir,0,in popular music videos in her career.,She appeared in popular music videos in her career.,Whitney Houston,female,dead,alive,critical,PS,deadPS,3,no,appear,13123,crit,crit
3,Shakira is a Colombian singer. She lives in Barcelona.,Shakira*is*a Colombian*singer.*She lives*in Barcelona.,"She*appeared*in popular*music videos,*as stated in*her memoir.",Shakira,Robin_Williams.jpg,Shakira.jpg,*is*a Colombian*singer.*She lives*in Barcelona.,She,appeared,in popular,music videos,in her career,as stated in,her memoir,0,in popular music videos in her career.,She appeared in popular music videos in her career.,Shakira,female,alive,dead,critical,PS,livingPS,1,yes,appear,13021,crit,crit
3,Shakira is a Colombian singer. She lives in Barcelona.,Shakira*is*a Colombian*singer.*She lives*in Barcelona.,"She*has appeared*in popular*music videos,*as stated in*her memoir.",Shakira,Robin_Williams.jpg,Shakira.jpg,*is*a Colombian*singer.*She lives*in Barcelona.,She,has appeared,in popular,music videos,in her career,as stated in,her memoir,0,in popular music videos in her career.,She has appeared in popular music videos in her career.,Shakira,female,alive,dead,critical,PP,livingPP,4,yes,appear,13012,crit,crit
10,Jimi Hendrix was an American musician. He died in London.,Jimi Hendrix*was*an American*musician.*He died*in London.,"He*has performed*in numerous*music festivals,*as reported by*his biographer.",Jimi Hendrix,Robin_Williams.jpg,Jimi_Hendrix.jpg,*was*an American*musician.*He died*in London.,He,has performed,in numerous,music festivals,through the years,as reported by,his biographer,0,in numerous music festivals through the years.,He has performed in numerous music festivals through the years.,Jimi Hendrix,male,dead,alive,critical,PP,deadPP,3,no,perform,110111,crit,crit
10,Jimi Hendrix was an American musician. He died in London.,Jimi Hendrix*was*an American*musician.*He died*in London.,"He*performed*in numerous*music festivals,*as reported by*his biographer.",Jimi Hendrix,Robin_Williams.jpg,Jimi_Hendrix.jpg,*was*an American*musician.*He died*in London.,He,performed,in numerous,music festivals,through the years,as reported by,his biographer,0,in numerous music festivals through the years.,He performed in numerous music festivals through the years.,Jimi Hendrix,male,dead,alive,critical,PS,deadPS,4,no,perform,110122,crit,crit
